Mag,no_vol_no_tsu,year
7.430769230769231,7.566666666666667,1900.0
7.13125,6.785714285714286,1901.0
7.155555555555555,7.238461538461538,1902.0
7.226666666666666,7.338461538461538,1903.0
7.41764705882353,7.258333333333333,1904.0
7.178260869565217,7.340000000000001,1905.0
7.320000000000001,7.2333333333333325,1906.0
7.27058823529412,7.5200000000000005,1907.0
7.191666666666666,7.485714285714287,1908.0
7.020833333333333,6.847058823529412,1909.0
7.078947368421052,7.2266666666666675,1910.0
6.894117647058823,6.708333333333332,1911.0
7.372727272727272,7.475,1912.0
7.178947368421053,7.1692307692307695,1913.0
6.943749999999999,6.8,1914.0
7.171428571428571,7.288888888888888,1915.0
7.252380952380953,7.3500000000000005,1916.0
6.9772727272727275,6.866666666666667,1917.0
7.4399999999999995,7.533333333333334,1918.0
7.08,6.65,1919.0
6.945454545454544,6.666666666666667,1920.0
6.769999999999999,6.642857142857143,1921.0
6.981249999999999,6.966666666666666,1922.0
6.871428571428574,6.6,1923.0
6.974999999999999,6.7142857142857135,1924.0
6.605555555555556,6.466666666666666,1925.0
6.666666666666667,6.966666666666666,1926.0
6.554999999999998,6.2250000000000005,1927.0
6.632142857142857,6.753846153846153,1928.0
6.9526315789473685,6.8,1929.0
6.185185185185186,6.194444444444444,1930.0
7.033333333333333,6.866666666666667,1931.0
6.825,6.7,1932.0
6.753846153846154,6.525,1933.0
7.107692307692308,6.666666666666667,1934.0
6.561904761904761,6.38125,1935.0
6.640000000000001,6.363636363636363,1936.0
6.976923076923077,6.933333333333334,1937.0
7.106249999999999,6.5,1938.0
6.805882352941176,6.0200000000000005,1939.0
6.615384615384615,6.3999999999999995,1940.0
6.8999999999999995,6.51,1941.0
7.015384615384614,7.0181818181818185,1942.0
7.090476190476191,7.034999999999999,1943.0
6.885714285714285,6.792307692307692,1944.0
6.771428571428571,6.459999999999999,1945.0
7.270588235294117,6.93,1946.0
6.626666666666667,6.5,1947.0
7.005555555555556,7.019999999999999,1948.0
7.026315789473684,6.8,1949.0
7.213636363636362,7.136363636363635,1950.0
6.864285714285715,7.055555555555556,1951.0
6.814285714285714,6.288888888888888,1952.0
6.7888888888888905,6.725,1953.0
6.533333333333333,6.4833333333333325,1954.0
6.657894736842104,6.56153846153846,1955.0
6.48695652173913,6.470588235294117,1956.0
7.18695652173913,7.1388888888888875,1957.0
6.999999999999999,6.8999999999999995,1958.0
6.647619047619047,6.500000000000001,1959.0
6.811111111111111,6.2,1960.0
6.762499999999999,6.7666666666666675,1961.0
6.196875000000001,6.1375,1962.0
6.533333333333333,6.2444444444444445,1963.0
6.583333333333333,6.081818181818182,1964.0
6.680769230769231,6.2749999999999995,1965.0
6.219354838709676,5.887499999999998,1966.0
6.333333333333332,6.263157894736842,1967.0
6.4789473684210535,6.179166666666667,1968.0
6.366666666666668,6.117391304347826,1969.0
6.4645161290322575,6.494444444444444,1970.0
6.345454545454545,5.97,1971.0
6.480769230769231,6.238888888888889,1972.0
6.38076923076923,6.084210526315789,1973.0
6.338095238095238,6.028571428571429,1974.0
6.5233333333333325,6.300000000000001,1975.0
6.576470588235295,6.427586206896552,1976.0
6.45,6.05,1977.0
6.4,6.125,1978.0
6.367647058823529,6.188000000000001,1979.0
5.924242424242424,5.725925925925925,1980.0
6.236363636363635,5.9125000000000005,1981.0
5.92,5.7749999999999995,1982.0
6.126086956521738,5.855882352941176,1983.0
5.928571428571429,5.757142857142857,1984.0
6.409999999999998,6.2,1985.0
5.693939393939394,5.43448275862069,1986.0
6.251515151515151,5.8500000000000005,1987.0
6.06,5.813043478260869,1988.0
5.842857142857142,5.64074074074074,1989.0
6.0352941176470605,5.927906976744186,1990.0
5.788095238095236,5.597142857142856,1991.0
6.311111111111111,6.121052631578948,1992.0
6.192307692307692,5.855555555555554,1993.0
6.537500000000001,6.147058823529413,1994.0
6.8677419354838705,6.384615384615385,1995.0
6.894736842105263,6.333333333333333,1996.0
6.347058823529412,6.186206896551725,1997.0
6.16774193548387,5.950000000000001,1998.0
6.017142857142857,5.924242424242424,1999.0
6.213513513513514,6.073333333333334,2000.0
6.3076923076923075,6.136363636363635,2001.0
5.973333333333332,5.849999999999999,2002.0
5.881944444444446,5.711111111111112,2003.0
5.724358974358976,5.495522388059701,2004.0
5.704999999999999,5.532075471698114,2005.0
5.552459016393443,5.324074074074074,2006.0
5.911940298507462,5.509615384615386,2007.0
5.711842105263158,5.588235294117647,2008.0
5.91967213114754,5.471739130434783,2009.0
5.99032258064516,5.636170212765957,2010.0
5.986666666666667,5.632608695652174,2011.0
6.269387755102043,5.872222222222222,2012.0
6.030188679245283,5.779069767441859,2013.0
6.050909090909093,5.651219512195121,2014.0
6.204166666666669,5.948571428571428,2015.0
6.313461538461538,5.955263157894737,2016.0
5.9640625000000025,5.698,2017.0
5.929230769230771,5.637254901960785,2018.0
5.829508196721312,5.730357142857143,2019.0
6.217857142857143,5.666666666666667,2020.0
6.2,6.2,2021.0
