Country,Cantidad
CHN,359
JPN,292
IDN,289
IRN,215
USA,186
TUR,168
ITA,135
PHL,131
PER,114
CHL,113
MEX,113
GRC,107
PNG,93
IND,82
RUS,80
TWN,73
SLB,59
NZL,57
AFG,54
VUT,49
COL,49
TON,47
ECU,45
PAK,42
DZA,38
ALB,30
VEN,29
GTM,26
NIC,26
CRI,26
SLV,23
TJK,23
PAN,20
NCL,17
PRT,16
KGZ,16
WLF,16
ARG,16
MMR,15
BGR,13
ZAF,13
CAN,12
AUS,12
HRV,12
HND,12
BOL,11
NPL,10
BGD,10
TLS,10
AZE,10
FRA,10
ROU,9
GEO,9
DOM,9
ESP,9
SRB,8
MNP,8
SGS,8
SVN,8
PRI,8
ISL,8
MNG,7
GUM,7
UZB,7
BIH,7
TZA,7
COD,6
MKD,6
DEU,6
VNM,6
BRA,6
GBR,6
EGY,6
MAR,5
POL,5
FSM,5
ETH,5
KAZ,5
BTN,5
MWI,4
XKX,4
HTI,4
MNE,4
THA,4
TUN,4
TTO,4
UKR,3
PSE,3
UGA,3
SAU,3
YEM,3
TKM,3
RWA,3
ZWE,3
HUN,3
MYS,3
ARM,3
CUB,3
JAM,3
KOR,3
SSD,2
FJI,2
GLP,2
DJI,2
IRQ,2
CYP,2
SYR,2
GHA,2
KNA,2
BEL,2
MDV,2
MTQ,2
NLD,2
GAB,1
CMR,1
COG,1
CAF,1
BDI,1
ATG,1
CZE,1
ERI,1
ZMB,1
CCK,1
PCN,1
GIN,1
GUF,1
TKL,1
OMN,1
TGO,1
SWZ,1
SVK,1
KEN,1
SPM,1
LAO,1
SDN,1
LBN,1
LBY,1
MDG,1
MYT,1
LCA,1
